business,category,website,contact,status,offer,next_action,notes
Ammon Corp,Handyman,https://www.ammoncorp.com/,Handyman@ammoncorp.com,found,Website repair pass,Manual mobile audit,"Potential template/copy cleanup and quote-flow improvements"
Handy Bro's LLC,Handyman,https://www.hndybros.com/,conechiwa@hndybros.com,sent_2026-05-07,Website repair pass,Wait for reply; no follow-up before 2026-05-12,"Sent Gmail message 19e03966f4af178d; title/meta/FAQ cleanup pitch"
Ibarra Auto Detailing,Auto detailing,https://www.ibarraauto.com/ABOUT-US.html,info@IbarraAuto.com,found,Website repair pass,Manual mobile audit,"Potential package layout and booking-path improvements"
Two Men & A Ladder,Handyman,https://www.twomenandaladder.com/,TwoMenAndALadderMKE@gmail.com,found,Website repair pass,Manual mobile audit,"Potential quote section and mobile hierarchy improvements"
Kiko Detailing,Auto detailing,https://www.kikodetailing.com/,kikodetailingg@gmail.com,sent_2026-05-07,Website repair pass,Wait for reply; no follow-up before 2026-05-12,"Sent Gmail message 19e0396e0aaa7a49; speed/proof/FAQ cleanup pitch"
Prestige Detailing MKE,Auto detailing,https://www.prestigedetailingmke.com/contact,prestigeautodetailingmke@gmail.com,sent_2026-05-07,Contact-page conversion pass,Wait for reply; no follow-up before 2026-05-12,"Sent Gmail message 19e0396b4c7c160a; speed/proof/FAQ cleanup pitch"
A Right Path Wellness,Wellness,https://arightpath.com/,Erica@ARightPath.com,found,One-page booking page,Manual mobile audit,"Potential service cards and appointment path; avoid medical claims"
Milwaukee Handyman,Handyman,https://www.milwaukee-handyman.com/contact/,johnz@milwaukee-handyman.com,sent_2026-05-07,Website repair pass,Wait for reply; no follow-up before 2026-05-12,"Sent Gmail message 19e039690744df01; contact page/meta/link cleanup pitch"
Patriot Landscape Co. LLC,Landscaping,https://www.patriotlcl.com/,info@patriotlcl.com,sent_2026-05-07,Website repair pass,Wait for reply; no follow-up before 2026-05-12,"Sent Gmail message 19e039cdcb05fe4e; meta/proof/FAQ cleanup pitch"
Gardenia Landscaping Service LLC,Landscaping,https://gardenialandscapingsvc.com/contact,Vivar616@gmail.com,sent_2026-05-07,Website repair pass,Wait for reply; no follow-up before 2026-05-12,"Sent Gmail message 19e039cf79101572; page weight/speed cleanup pitch"
Metropolitan Maintenance and Landscaping,Landscaping,https://www.mm-l.com/,mmljoe@yahoo.com,found_2026-05-07,Website repair pass,Run audit and manual mobile check,"Public contact from website; lawn care/landscaping lead"
Tutor You,Tutoring,https://tutoryou.org/contact/,nancy@tutoryou.org,found_2026-05-07,Website repair pass,Run audit and manual mobile check,"Public contact from website; tutoring lead"
GDL Detailing,Auto detailing,https://gdldetailing.wixsite.com/gdldetailing/visit,gdladetailing@gmail.com,sent_2026-05-07,Website repair pass,Wait for reply; no follow-up before 2026-05-12,"Sent Gmail message 19e039d0e7f9f5ed; title/meta/proof/FAQ cleanup pitch"
DaWorks Detailing,Auto detailing,https://daworksdetailing.com/,daworks.detailing@gmail.com,sent_2026-05-07,Website repair pass,Wait for reply; no follow-up before 2026-05-12,"Sent Gmail message 19e039d2907ca898; booking/meta/proof/FAQ cleanup pitch"
Luxe Detail Co.,Auto detailing,https://www.luxedetailco.com/,luxedetailcomke@gmail.com,sent_2026-05-07,Website repair pass,Wait for reply; no follow-up before 2026-05-12,"Sent Gmail message 19e03a551885e7fe; H1/FAQ/mobile-contact cleanup pitch"
MH Landscaping LLC,Landscaping,https://mhlandscapingllc.net/contact,mhlawncare0807@gmail.com,sent_2026-05-07,Website repair pass,Wait for reply; no follow-up before 2026-05-12,"Sent Gmail message 19e03a56bb9eb97b; quote/meta/FAQ cleanup pitch"
Endless Detailing,Auto detailing,https://www.endlessdetailingwi.com/,Endlessdetails1@gmail.com,sent_2026-05-07,Website repair pass,Wait for reply; no follow-up before 2026-05-12,"Sent Gmail message 19e03a58ac844f47; speed/placeholder/mobile-contact cleanup pitch"
Best Handyman,Handyman,https://best-handyman.com/contact-us/,besthandymanmke@gmail.com,found_2026-05-07,Website repair pass,Run audit and manual mobile check,"Public contact from website/search result; handyman lead with estimate path"
Arbor Stone Landscape & Design LLC,Landscaping,https://arborstonelandscapes.net/contact-us/,arborstonelandscape@gmail.com,found_2026-05-07,Website repair pass,Run audit and manual mobile check,"Public contact from website; landscaping and hardscape lead"
